bbbbbbbbbbbbbbbbbbbbbb ababababababababb bbabccaabaabcbc bbbbbbbbbbbbbb abcabcabcabcabcabcabca aabbababaa 
ccccccccccccccc aabbaaabbaab aaaaaababbb cccccaabbab abaaabaaaababaaabaaaaabababb bbbbbbaabaabbbab 
bbbbbac aaaaababab abbbadabdabdabbabbab abcabcabcabcabcabcabcabca aaa babbbbbbbbbbbbbbbb 
bababbaababababba bcbccbcbbbbccaca bbbbbabbbbbbbbbbbbbbbbbbbbbb bbabbbababbbaababaaa aababababbbbb aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa 
abbacabbacabbaaabcabbabba abdabbacabbaacabbbabbba bac babbbbabbbbbaabaaaabbaabaaaba bbbbbbbbbbbbbbdabbd aaaaa 
aaaaaabbca ccbbaa ababbcabbbabbaacabbdabbaa bbabba ba aabbaaabbabbaaabbaaabbabbabba 
ccbccbbcccccccac ccbcc abababababa ababababababaaaba bbcbcbbbcbbcbccbaaacc bbaa 
abbbabbcabbdabbaaabbaadabbaa abdabbaacabbaadabbaadabbaaabba abcabcacabadc abbadabbabbadabbaa aaaaaaaaaaaaaaaaaaaaaaaaaaa aaaacdad 
abbacabdabcabba abbaaabcabbabbdabbadba abd ccccccacaaccabccbaaa aaaaaaaaabbabaabbbabaacacac aaaabbabba 
abbdabbabbabbaab ababababababbabbbaaababaabab bbbbbcbcbbcbabc abbbabbdcdabcabdab abababbb bbbbbaaaabbabbabaabbbbabba 
bacbacbcbcaabaaacacbcbabcaa bbaabbabbbbababb abbbabbaa bbbbbababbabab baaaaaaaaaaaaaaaabbbbbbbbbbba cccccbbccccbbcbbbbbabbcabab 
bbaaa ca aaaaaaaaaaaaaaaaaaaaaaabcd acd aaaaaabbabbb aaaac 
aaaabbbbbabbaaabaaab baadbccd aabbadabbacabbabbbacabbdabcabb babababababababababa aaaaaabbabbaaaaaaaaa bbabaaababbbaaaababbab 
ccccccccccbcbcbcbab bcaacbccbbcaacca abb aaaaaaaaaaaaaaaababbbaabaaaaa aba bbbbaabbbbaabbbccbabca 
bab aaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaa abcabcabcabcabcabcaba abadab abbdabbcabbaca 
ddabbaadabbacabcbabbaadabbd ccccc abababababbbb abbbabbcabbaacabbaadabbab aabababbab abbaacbabdabcabbddabbbabbaccabbac 
cccaaacabccccaccbcbbaa cbcacbc babbbbbbbb aababaaababbbb ababababababababaaaaaabaa abbbbbbaaabaabbabbb 
abbaadabbbabbacabbacdabbacabbaac bbbbaabbccabb aabbababbbaaabbabaababbbaabab bcbaaaacbac babbabaaabaabbab bcbabc 
cacaccbaba abbbbbbbbbbbbbbbbabb bababbabbbbbbbbbbbbbbbbb baa abcabcaba ababababababababab 
aaaababb abcab abbaadabbdabbaac babababababa babababababababababaabaaa aaabbaba 
aaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaa aababababb ababababababababababababababab abcabcadac bbababbbbbbbabababaa 
cacbcacbbccbbcbbbbb aaaaaaaaaaaaaaaaaaaaaaa abbaacacdabcadabbacbabbaad abbbbbaba ababbbbabaaabababab abbaaabbaaabbdabbaa 
ababaaaaab aca abbbaba abcabcabcabcabcababada ccccacaaccccccbcaa aaaaaaaaabba 
cccabccacbcbcbcbacabbcbbc abcabcabcadadadadadadadaa aaabaababbababa aababababab aabbabbaaa babbccabbaabcacaabcbabbbbaaab 
bababababababababb aabbb baaaabbbbbb  abacababba bababbbababbbbababbaaab 
baaa baaaaaaaaaaaaaa cddbddadcbabaa bbbbbbaa abababa abbbbbab 
cbbccdbbd bbbbbbbbabbbbbbbbbb babababababb cccccccccbccccccbbccbabccaaba abbdabcabbaaabcabbaadab baaabbb 
bbabbaababb bbbbbbbccbccbacbababbccaaac ababbcabbaacababdabbadcabbba ccccccccacabb babaaaabababababab cccccccccccccaaccaaaacbbabba 
bbabbabbabbaaaaaaa abbbbbbbbbaabbb bcccabcaacccbabac bababababa abca aabbaaaaaaabbabbabbaaabba 
bccccacaaacaaaaaacccacaacbcb bbbbbbbbbbbbaabaaabb ccccccccacccacbcaabcbbcc adabbabbabbaadabbabb bbbaaaaaabbaabcbbccbcacc caababbbbbbcaabacbaacbc 
abbaaabcacabbacaab abcabcabcabcabcabcabadb abacabacaba bbbbbb abcabcabc bbbbbabbbabababaaa 
acbcabcccbcacbc abaab cacccaccaba aaaaaaaaaac aaaaaaaaaaaaaaaa baaaab 
bbabbaaabbaaabbabbabbabba ccccccccbcbcdcdc baaaba aaaacaaaaaccabcb ababababababbbabaababa cccccb 
abcabcabcabcabcabca abcabcabcabcabca aababbbbbabbbbbbbbbbaba ada bbaabbabababb baabbbbbbbbbbbbbbbbaaaaabaab 
aaaaaaaaaaaaaaabccbaccaaca baaaaaaaaaaaaabbbbbbbbbbb bc abbbbbbbbabbab bbababababbabababaababaaababbaba abbadabbaacabbaadabcabbaa 
abdabbabdabbabba aabbaaaaabbaaaaabba baaaaaaaaaaaaaaaaaaaabbbbbbb aaaaaaaaababbbabbabaabaaabb ababababbab ababababababababababababababbb 
